PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
71, 1651020171, 0.5983173251152039, -0.010878987610340118, -0.0001920919312397018, 0.8011854887008667, -0.18108852207660675, -0.1201033890247345, 9.860444068908691, 0.3034902513027191, 0.34560003876686096, -0.7207332849502563, 1.576171875, -0.560546875, -1.22314453125, 0, 
72, 1651028504, 0.5983077883720398, -0.010880529880523682, -0.00019910195260308683, 0.8011925220489502, -0.1773332804441452, -0.13029618561267853, 9.845666885375977, 0.20461930334568024, 0.28292205929756165, -0.7085666060447693, 1.5732421875, -0.5615234375, -1.220703125, 0, 
73, 1651036837, 0.5983123183250427, -0.01088002324104309, -0.00019894493743777275, 0.8011891841888428, -0.18096676468849182, -0.14116832613945007, 9.847297668457031, 0.30779343843460083, 0.3235718011856079, -0.8372780680656433, 1.57568359375, -0.56103515625, -1.22021484375, 0, 
74, 1651045170, 0.5983055233955383, -0.01087714172899723, -0.00019832643738482147, 0.8011942505836487, -0.16562408208847046, -0.12365835160017014, 9.849535942077637, 0.3258770704269409, 0.29872599244117737, -0.7537500858306885, 1.57470703125, -0.56103515625, -1.2236328125, 0, 
75, 1651053503, 0.5983054041862488, -0.010876817628741264, -0.00020481976389419287, 0.8011943697929382, -0.15658289194107056, -0.13207724690437317, 9.85499382019043, 0.2313861846923828, 0.2707040309906006, -0.7609732747077942, 1.576171875, -0.56298828125, -1.22119140625, 0, 
76, 1651061836, 0.5982954502105713, -0.01087658666074276, -0.00020554733055178076, 0.8012017607688904, -0.1716107428073883, -0.1323702335357666, 9.856667518615723, 0.28917187452316284, 0.31565701961517334, -0.6980646848678589, 1.5732421875, -0.56201171875, -1.220703125, 0, 
77, 1651070169, 0.5982906222343445, -0.010878494940698147, -0.0002060327969957143, 0.8012053370475769, -0.15998049080371857, -0.15319958329200745, 9.836332321166992, 0.2786701023578644, 0.344806045293808, -0.6782137155532837, 1.57666015625, -0.5615234375, -1.22314453125, 0, 
78, 1651078502, 0.5982850790023804, -0.0108811529353261, -0.0002108623884851113, 0.8012094497680664, -0.18553043901920319, -0.12465259432792664, 9.8474760055542, 0.22073066234588623, 0.314888596534729, -0.7771358489990234, 1.57470703125, -0.56494140625, -1.2216796875, 0, 
79, 1651086835, 0.5982843041419983, -0.01088474877178669, -0.0002204499760409817, 0.8012099862098694, -0.1689574420452118, -0.14032475650310516, 9.858406066894531, 0.16537828743457794, 0.288941353559494, -0.7481149435043335, 1.572265625, -0.5615234375, -1.2216796875, 0, 
80, 1651095168, 0.5982783436775208, -0.010878578759729862, -0.00021924123575445265, 0.8012145161628723, -0.17861364781856537, -0.1367623507976532, 9.854686737060547, 0.35940617322921753, 0.2667594850063324, -0.7701689004898071, 1.57470703125, -0.56103515625, -1.2236328125, 0, 
81, 1651103501, 0.5982776880264282, -0.010876988060772419, -0.00021652049326803535, 0.8012150526046753, -0.18303409218788147, -0.12923040986061096, 9.863905906677246, 0.34485724568367004, 0.3319220244884491, -0.7484991550445557, 1.57568359375, -0.55908203125, -1.2265625, 0, 
82, 1651111834, 0.5982727408409119, -0.010876567102968693, -0.000220062822336331, 0.8012186884880066, -0.1829339563846588, -0.1376350075006485, 9.845466613769531, 0.2606120705604553, 0.2911441922187805, -0.7853068113327026, 1.57763671875, -0.5615234375, -1.22314453125, 0, 
83, 1651120167, 0.5982733368873596, -0.010872851125895977, -0.00021266753901727498, 0.8012182712554932, -0.18917839229106903, -0.12832915782928467, 9.84369945526123, 0.4118640720844269, 0.34818708896636963, -0.7693235278129578, 1.57421875, -0.56396484375, -1.22314453125, 0, 
84, 1651128500, 0.5982687473297119, -0.010868680663406849, -0.00021067036141175777, 0.8012217283248901, -0.16750527918338776, -0.134316086769104, 9.852991104125977, 0.35238781571388245, 0.296267032623291, -0.7897124290466309, 1.57861328125, -0.56396484375, -1.2236328125, 0, 
85, 1651136833, 0.5982685685157776, -0.010868956334888935, -0.0002008604642469436, 0.8012218475341797, -0.1698082834482193, -0.1282145082950592, 9.83839225769043, 0.40558865666389465, 0.4119153320789337, -0.7557992935180664, 1.57568359375, -0.56494140625, -1.2216796875, 0, 
86, 1651145166, 0.5982601642608643, -0.010868685320019722, -0.0001968772558029741, 0.8012283444404602, -0.16475142538547516, -0.13495269417762756, 9.852997779846191, 0.34268003702163696, 0.35302817821502686, -0.7254207134246826, 1.57568359375, -0.56005859375, -1.22265625, 0, 
87, 1651153499, 0.5982606410980225, -0.010865990072488785, -0.0001894085726235062, 0.8012280464172363, -0.1876474767923355, -0.12247078120708466, 9.845616340637207, 0.4050251245498657, 0.361173540353775, -0.7676330804824829, 1.57568359375, -0.56201171875, -1.22265625, 0, 
88, 1651161832, 0.5982505083084106, -0.010863021947443485, -0.00018634933803696185, 0.8012354373931885, -0.17980101704597473, -0.14917969703674316, 9.85447883605957, 0.35310500860214233, 0.3152984380722046, -0.6928138136863708, 1.578125, -0.56103515625, -1.224609375, 0, 
89, 1651170165, 0.5982520580291748, -0.010857741348445415, -0.0001867415994638577, 0.8012343645095825, -0.17816300690174103, -0.15214097499847412, 9.845287322998047, 0.339811235666275, 0.2681169807910919, -0.7866899967193604, 1.5751953125, -0.5595703125, -1.22265625, 0, 
90, 1651178498, 0.5982486009597778, -0.01086355373263359, -0.00018959719454869628, 0.8012368083000183, -0.18462203443050385, -0.13920147716999054, 9.852725982666016, 0.21658115088939667, 0.3657328486442566, -0.8080010414123535, 1.5751953125, -0.560546875, -1.22412109375, 0, 
91, 1651186831, 0.5982480645179749, -0.01085655391216278, -0.00018817634554579854, 0.8012372851371765, -0.1868036538362503, -0.14071787893772125, 9.845352172851562, 0.3741855323314667, 0.2620464265346527, -0.7504457235336304, 1.57373046875, -0.56298828125, -1.22265625, 0, 
92, 1651195164, 0.5982446670532227, -0.010855542495846748, -0.00018741415988188237, 0.8012399673461914, -0.1727338284254074, -0.13021732866764069, 9.829164505004883, 0.31263455748558044, 0.3201907277107239, -0.8094354271888733, 1.57666015625, -0.5615234375, -1.2216796875, 0, 
93, 1651203497, 0.5982452630996704, -0.010855553671717644, -0.00018505124899093062, 0.8012394905090332, -0.17110314965248108, -0.1390441209077835, 9.841876029968262, 0.3266199231147766, 0.3480846583843231, -0.7714495658874512, 1.57568359375, -0.56396484375, -1.21923828125, 0, 
94, 1651211830, 0.5982369184494019, -0.010851521044969559, -0.00018275064940098673, 0.8012458086013794, -0.18831290304660797, -0.12998145818710327, 9.830817222595215, 0.3552822470664978, 0.29757338762283325, -0.7240889072418213, 1.57470703125, -0.5615234375, -1.22216796875, 0, 
95, 1651220163, 0.5982351303100586, -0.01084903534501791, -0.00018369298777543008, 0.8012471199035645, -0.16523811221122742, -0.12501052021980286, 9.843950271606445, 0.3094584047794342, 0.29337266087532043, -0.7293140888214111, 1.5751953125, -0.5595703125, -1.220703125, 0, 
96, 1651228496, 0.5982272624969482, -0.010851658880710602, -0.0001835453585954383, 0.8012530207633972, -0.16932210326194763, -0.12669114768505096, 9.853048324584961, 0.2754170596599579, 0.3549748659133911, -0.7356151938438416, 1.57568359375, -0.564453125, -1.22314453125, 0, 
97, 1651236829, 0.5982264876365662, -0.010856910608708858, -0.0001898520567920059, 0.8012535572052002, -0.19324852526187897, -0.13841499388217926, 9.861767768859863, 0.18902023136615753, 0.33356136083602905, -0.74775630235672, 1.57666015625, -0.56396484375, -1.2236328125, 0, 
98, 1651245162, 0.5982193350791931, -0.010859696194529533, -0.0001988207222893834, 0.80125892162323, -0.16935071349143982, -0.14608965814113617, 9.845444679260254, 0.17375414073467255, 0.2807960510253906, -0.7498310208320618, 1.57666015625, -0.56103515625, -1.22265625, 0, 
99, 1651253495, 0.5982200503349304, -0.010858631692826748, -0.00020508765010163188, 0.801258385181427, -0.17760509252548218, -0.1333647519350052, 9.845523834228516, 0.23981325328350067, 0.26596540212631226, -0.7757526636123657, 1.57470703125, -0.56103515625, -1.2236328125, 0, 
100, 1651261828, 0.5982145071029663, -0.01085875928401947, -0.00021051254589110613, 0.8012624979019165, -0.16573137044906616, -0.1216484010219574, 9.854972839355469, 0.2361760437488556, 0.28061676025390625, -0.770783543586731, 1.57373046875, -0.56298828125, -1.2216796875, 0, 
